url,username,text,time,likes,retweets,profile_picture,category
https://twitter.com/twitter/statuses/1406276603747966979,cnn,The planet is trapping roughly double the amount of heat in the atmosphere than it did nearly 15 years ago according to an alarming new analysis from NASA and the National Oceanic and Atmospheric Administration,2021-06-19 15:44:04,44,29,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,science
https://twitter.com/twitter/statuses/1406273356211666944,cnn,Daredevil Nik Wallenda performed a 320foot highwire walk during an event at DYouville College campus in Buffalo New York,2021-06-19 15:31:10,79,19,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,sport
https://twitter.com/twitter/statuses/1406269563638104065,cnn,A Louisiana woman who went viral after mistakenly using Gorilla Glue in place of hair spray has launched her own hair care line,2021-06-19 15:16:05,422,56,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,lifestyle
https://twitter.com/twitter/statuses/1406265567108112384,cnn,A study of makeup found markers for PFAS potentially toxic chemicals that were often not included on labels with the highest levels in foundation waterproof mascara and longlasting lipsticks Now some US lawmakers want to ban PFAS in cosmetics,2021-06-19 15:00:13,199,96,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,science
https://twitter.com/twitter/statuses/1406264276579405828,cnn,Ebrahim Raisi ultraconservative judiciary chief wins Irans presidential vote amid historically low turnout,2021-06-19 14:55:05,108,29,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,politics
https://twitter.com/twitter/statuses/1406263017046745088,cnn,The Biden administration is moving to make gender confirmation surgery available through Veterans Affairs health care a VA department spokesperson says,2021-06-19 14:50:05,355,52,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,politics
https://twitter.com/twitter/statuses/1406261506254249986,cnn,New York City police are looking for two individuals in connection with a brazen daytime assault in which a 24yearold man was shot next to two children on a Bronx sidewalk,2021-06-19 14:44:04,168,65,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,others
https://twitter.com/twitter/statuses/1406258237645770762,cnn,CNNs Chris Cuomo speaks to 8yearold Bryson Kliemann who sold his Pokmon cards to help pay for his sick dogs veterinarian bill,2021-06-19 14:31:05,440,80,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,lifestyle
https://twitter.com/twitter/statuses/1406254228297945096,cnn,Resilient children are made not bornPandemicParentsAZelechoskitalks withDrSanjayGuptaabout the pandemicseffecton childrens developmentand the importance of parentsprioritizingtheir ownselfcareListen to this weeks podcast,2021-06-19 14:15:09,125,23,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,health
https://twitter.com/twitter/statuses/1406252800972136448,cnn,You take all these experiences over and over again andthey just boil down to one thing andits that if you are Blackyou are other comedian DL Hughley tells smerconishPeople have thisnotion of us where whateverhappens to us is our fault evengetting Covid,2021-06-19 14:09:29,220,58,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,politics
https://twitter.com/twitter/statuses/1406251058545008643,cnn,Paleontologists working in China have discovered a new species of giant rhino the largest land mammal ever to have walked the earth,2021-06-19 14:02:33,539,95,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,science
https://twitter.com/twitter/statuses/1406249256822968320,cnn,A new study suggests theres a correlation between the political affiliation of White Americans living in 1940 who are still alive today and whether they grew up living next door to Black AmericansHarvard professor Ryan Enos discusses his research with smerconish,2021-06-19 13:55:24,168,41,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,politics
https://twitter.com/twitter/statuses/1406248587529494530,cnn,About 50 officers assigned to the Portland police departments crowd control team resigned one day after one of the teams officers was indicted for allegedly using his departmentissued baton to assault a protester last summer,2021-06-19 13:52:44,164,37,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,others
https://twitter.com/twitter/statuses/1406246394596413440,cnn,College baseball pitcher Sang Ho Baek dies after complications from Tommy John surgery,2021-06-19 13:44:01,240,65,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,sport
https://twitter.com/twitter/statuses/1406245115165872130,cnn,New York City is using rankedchoice voting in its primaries and it could take weeks to determine the winners Heres why its a big test for rankedchoice voting Democratic strategist Doug Schoen tells smerconish,2021-06-19 13:38:56,123,24,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,politics
https://twitter.com/twitter/statuses/1406243135601188870,cnn,The Supreme Court dismissed a challenge to the Affordable Care Act on Thursday in a decision that will leave the law intact and save health care coverage for millions of Americans CNNs JohnAvlon looks at the many hurdles the ACA has faced,2021-06-19 13:31:04,251,62,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,politics
https://twitter.com/twitter/statuses/1406239731009064964,cnn,Manchins efforts at compromisealone wont be enough Thats becauseMinority Leader Mitch McConnellonce again seems to be moreintent on acting like ablockade So could Manchin soften on the filibuster smerconish explores,2021-06-19 13:17:33,169,36,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,politics
